activity_type,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,power,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,vertical_oscillation,vertical_ratio,unknown_107,unknown_134,unknown_135,unknown_136,unknown_140,unknown_143,unknown_87,accumulated_power,unknown_90,power_wkg,hr_rolling,power_rolling,cadence_rolling,speed_rolling,altitude_rolling,vo_rolling,vr_rolling,efficiency_score,efficiency_category
running,74,23.31,15.600000000000023,1.549,0.0,74,156109642,956971922,173,337.0,,,627.0,25,73.5,11.71,1,,83,74,1545,74,49000.0,1416.0,,2.4027777777777777,71.4,0.9833333333333334,38.6,0.96585,15.560000000000013,61.725,10.478571428571428,0.29533665317979046,Inefficient
running,76,24.93,15.600000000000023,1.558,0.0,74,156109631,956971738,175,327.0,,,615.0,25,72.7,11.82,1,,83,74,1555,74,0.0,1591.0,,2.4305555555555554,71.52380952380952,1.0522486772486772,40.38095238095238,0.9940476190476191,15.561904761904776,62.56923076923077,10.64625,0.33004397037538036,Inefficient
running,76,26.57,15.600000000000023,1.558,0.5,74,156109629,956971519,173,322.0,,,607.0,25,72.2,11.89,1,,83,74,1555,74,0.0,1764.0,,2.4027777777777777,71.63636363636364,1.1136363636363635,42.0,1.0196818181818181,15.563636363636379,63.25714285714286,10.784444444444444,0.36273265651438236,Inefficient
running,78,28.8,15.600000000000023,1.568,0.5,74,156109613,956971303,172,318.0,,,602.0,25,71.6,11.88,1,,83,74,1564,74,0.0,1936.0,,2.388888888888889,71.73913043478261,1.1690821256038648,43.56521739130435,1.0435217391304348,15.565217391304362,63.81333333333334,10.894,0.394417606011809,Inefficient
running,78,30.72,15.600000000000023,1.577,0.5,74,156109617,956971105,173,318.0,,,606.0,25,71.7,11.83,1,,83,74,1572,74,0.0,2109.0,,2.4027777777777777,71.83333333333333,1.220486111111111,45.0,1.06575,15.566666666666682,64.30625,10.97909090909091,0.4247631477184841,Inefficient
running,77,32.76,15.600000000000023,1.633,0.5,75,156109667,956970894,178,317.0,,,628.0,25,73.0,11.62,1,,93,75,1627,74,0.0,2287.0,,2.4722222222222223,71.96,1.2705555555555557,46.28,1.08844,15.568000000000016,64.81764705882354,11.0325,0.4539660236482546,Inefficient
running,77,34.54,15.600000000000023,1.661,0.5,76,156109705,956970706,181,316.0,,,638.0,26,73.7,11.55,1,,92,76,1655,74,0.0,2468.0,,2.513888888888889,72.11538461538461,1.3183760683760684,47.46153846153846,1.1104615384615384,15.569230769230785,65.3111111111111,11.072307692307692,0.48203735359290917,Inefficient
running,78,36.56,15.600000000000023,1.717,0.5,77,156109714,956970522,188,311.0,,,651.0,25,74.1,11.37,1,,91,77,1711,74,0.0,2656.0,,2.611111111111111,72.29629629629629,1.3662551440329216,48.592592592592595,1.1329259259259261,15.570370370370386,65.77368421052631,11.093571428571428,0.510168132107011,Poor
running,79,38.35,15.600000000000023,1.736,0.0,78,156109708,956970335,190,310.0,,,659.0,25,74.7,11.34,1,,90,78,1730,74,0.0,2846.0,,2.638888888888889,72.5,1.4117063492063493,49.67857142857143,1.1544642857142857,15.571428571428587,66.22,11.110000000000001,0.5374065494652523,Poor
running,79,39.9,15.600000000000023,1.773,0.0,79,156109704,956970184,193,310.0,,,673.0,26,75.3,11.18,1,,89,79,1767,74,0.0,3039.0,,2.6805555555555554,72.72413793103448,1.4554597701149425,50.689655172413794,1.1757931034482758,15.572413793103465,66.65238095238095,11.114375,0.5635967183154116,Poor
running,77,40.99,15.600000000000023,1.773,0.5,81,156109668,956970093,192,314.0,,,681.0,25,76.2,11.17,1,,87,81,1767,74,0.0,3231.0,,2.6666666666666665,73.0,1.4958333333333333,51.56666666666667,1.1957,15.57333333333335,67.08636363636364,11.117647058823529,0.5870254101133098,Poor
running,77,41.91,15.600000000000023,1.764,0.5,82,156109630,956969956,189,314.0,,,678.0,25,76.0,11.21,1,,86,82,1758,74,0.0,3420.0,,2.625,73.29032258064517,1.532258064516129,52.38709677419355,1.214032258064516,15.574193548387113,67.47391304347826,11.122777777777777,0.6084671109091826,Poor
