timestamp,heart_rate,cadence,speed,power,step_length
2025-02-15 05:13:00+05:30,80.14285714285714,32.0,1.2104285714285716,46.142857142857146,830.6666666666666
2025-02-15 05:14:00+05:30,83.81666666666666,50.666666666666664,1.6048166666666668,95.53333333333333,609.3548387096774
2025-02-15 05:15:00+05:30,69.88333333333334,47.53333333333333,1.6402166666666667,101.16666666666667,800.8863636363636
2025-02-15 05:16:00+05:30,99.75,84.26666666666667,2.3712500000000003,245.61666666666667,843.7833333333333
2025-02-15 05:17:00+05:30,129.26666666666668,84.83333333333333,2.3769666666666667,244.5,840.6666666666666
2025-02-15 05:18:00+05:30,137.35,85.05,2.423983333333333,249.11666666666667,853.9
2025-02-15 05:19:00+05:30,139.45,84.66666666666667,2.4736,255.16666666666666,875.1166666666667
2025-02-15 05:20:00+05:30,137.68333333333334,85.78333333333333,2.4043833333333335,248.51666666666668,840.4
2025-02-15 05:21:00+05:30,136.31666666666666,84.85,2.41945,248.23333333333332,854.6666666666666
2025-02-15 05:22:00+05:30,135.93333333333334,85.35,2.3836166666666667,244.75,837.4
2025-02-15 05:23:00+05:30,136.66666666666666,66.38333333333334,1.8424,185.96666666666667,825.7173913043479
2025-02-15 05:24:00+05:30,115.26666666666667,27.55,0.8184333333333333,76.58333333333333,776.7
2025-02-15 05:25:00+05:30,121.05,78.5,2.330233333333333,236.86666666666667,876.6181818181818
2025-02-15 05:26:00+05:30,132.81666666666666,83.38333333333334,2.261283333333333,237.01666666666668,812.85
2025-02-15 05:27:00+05:30,136.0,84.23333333333333,2.3775833333333334,240.01666666666668,846.7833333333333
2025-02-15 05:28:00+05:30,139.16666666666666,84.38333333333334,2.4053,246.38333333333333,853.6666666666666
2025-02-15 05:29:00+05:30,137.0,84.28333333333333,2.348566666666667,242.53333333333333,835.4333333333333
2025-02-15 05:30:00+05:30,136.03333333333333,84.91666666666667,2.3380666666666667,239.75,825.5166666666667
2025-02-15 05:31:00+05:30,138.88333333333333,85.71666666666667,2.4111333333333334,247.35,843.6333333333333
2025-02-15 05:32:00+05:30,139.2,85.13333333333334,2.348516666666667,241.38333333333333,826.8166666666667
2025-02-15 05:33:00+05:30,136.53333333333333,84.2,2.2551666666666668,232.58333333333334,802.65
2025-02-15 05:34:00+05:30,137.5,84.41666666666667,2.23735,233.71666666666667,794.6833333333333
2025-02-15 05:35:00+05:30,138.41666666666666,84.88333333333334,2.3735833333333334,245.73333333333332,838.2833333333333
2025-02-15 05:36:00+05:30,139.18333333333334,85.13333333333334,2.3851166666666668,244.71666666666667,839.4833333333333
2025-02-15 05:37:00+05:30,138.38333333333333,84.88333333333334,2.3487,240.91666666666666,829.7666666666667
2025-02-15 05:38:00+05:30,138.06666666666666,84.33333333333333,2.3152333333333335,239.55,821.8333333333334
2025-02-15 05:39:00+05:30,136.0,83.93333333333334,2.2636833333333333,234.3,808.4333333333333
2025-02-15 05:40:00+05:30,138.83333333333334,84.13333333333334,2.29245,237.56666666666666,816.9
2025-02-15 05:41:00+05:30,138.16666666666666,83.96666666666667,2.2918333333333334,236.76666666666668,817.7666666666667
2025-02-15 05:42:00+05:30,138.4,85.38333333333334,2.3069833333333336,238.51666666666668,810.5
2025-02-15 05:43:00+05:30,137.05,84.96666666666667,2.2696833333333335,236.08333333333334,800.7833333333333
2025-02-15 05:44:00+05:30,139.0,85.35,2.25605,233.0,792.95
2025-02-15 05:45:00+05:30,138.71666666666667,85.01666666666667,2.2928166666666665,236.98333333333332,807.9666666666667
2025-02-15 05:46:00+05:30,139.4,82.65,2.3152,230.2,812.1206896551724
2025-02-15 05:47:00+05:30,137.46666666666667,85.05,2.1973,229.05,773.1166666666667
2025-02-15 05:48:00+05:30,138.73333333333332,84.13333333333334,2.2871666666666663,236.31666666666666,814.8166666666667
2025-02-15 05:49:00+05:30,141.6,84.35,2.3106999999999998,238.83333333333334,821.6
2025-02-15 05:50:00+05:30,142.11666666666667,84.35,2.3168,240.7,823.6166666666667
2025-02-15 05:51:00+05:30,140.35,84.26666666666667,2.2895666666666665,235.13333333333333,813.6166666666667
2025-02-15 05:52:00+05:30,138.48333333333332,83.78333333333333,2.259866666666667,235.95,808.8666666666667
2025-02-15 05:53:00+05:30,138.51666666666668,83.8,2.210183333333333,230.48333333333332,790.3833333333333
2025-02-15 05:54:00+05:30,138.18333333333334,84.11666666666666,2.19265,226.06666666666666,781.7833333333333
2025-02-15 05:55:00+05:30,139.15,83.13333333333334,2.22155,229.86666666666667,800.6333333333333
2025-02-15 05:56:00+05:30,141.48333333333332,83.58333333333333,2.2559,235.18333333333334,809.3666666666667
2025-02-15 05:57:00+05:30,143.0,81.9,2.3934,244.41666666666666,873.6
2025-02-15 05:58:00+05:30,145.13333333333333,84.11666666666666,2.440733333333333,247.9,869.1333333333333
2025-02-15 05:59:00+05:30,146.9,83.48333333333333,2.4006499999999997,246.83333333333334,862.2833333333333
2025-02-15 06:00:00+05:30,145.85,83.15,2.2591166666666664,230.76666666666668,814.5333333333333
2025-02-15 06:01:00+05:30,143.38333333333333,83.61666666666666,2.2504,231.71666666666667,807.1666666666666
2025-02-15 06:02:00+05:30,143.33333333333334,83.85,2.336866666666667,239.81666666666666,835.6666666666666
2025-02-15 06:03:00+05:30,141.08333333333334,81.93333333333334,2.1615499999999996,223.38333333333333,788.5333333333333
2025-02-15 06:04:00+05:30,138.98333333333332,83.91666666666667,2.185983333333333,223.55,781.0166666666667
2025-02-15 06:05:00+05:30,141.81666666666666,83.23333333333333,2.2169499999999998,226.26666666666668,798.85
