timestamp,heart_rate,cadence,speed,power,step_length,pace_min_per_km,power_to_weight,cadence_to_speed
2025-02-15 05:13:00+05:30,80.14285714285714,32.0,1.2104285714285716,46.142857142857146,830.6666666666666,13.769227743026867,0.6408730158730159,26.436917266611584
2025-02-15 05:14:00+05:30,83.81666666666666,50.66666666666666,1.6048166666666668,95.53333333333332,609.3548387096774,10.38540227855726,1.3268518518518517,31.57162292681406
2025-02-15 05:15:00+05:30,69.88333333333334,47.53333333333333,1.6402166666666669,101.16666666666669,800.8863636363636,10.161259183237986,1.4050925925925928,28.979911190594734
2025-02-15 05:16:00+05:30,99.75,84.26666666666667,2.3712500000000003,245.61666666666667,843.7833333333333,7.028641714988578,3.4113425925925926,35.536812510982244
2025-02-15 05:17:00+05:30,129.26666666666668,84.83333333333333,2.3769666666666667,244.5,840.6666666666666,7.011737648824131,3.3958333333333335,35.68974463251483
2025-02-15 05:18:00+05:30,137.35,85.05,2.423983333333333,249.11666666666667,853.9,6.87573484416147,3.459953703703704,35.086874909755984
2025-02-15 05:19:00+05:30,139.45,84.66666666666667,2.4736,255.16666666666663,875.1166666666667,6.737818025010781,3.543981481481481,34.22811556705477
2025-02-15 05:20:00+05:30,137.68333333333334,85.78333333333333,2.404383333333333,248.51666666666668,840.4,6.931784310599393,3.4516203703703705,35.67789384665507
2025-02-15 05:21:00+05:30,136.31666666666666,84.85,2.41945,248.2333333333333,854.6666666666666,6.888617936583383,3.4476851851851844,35.069953915146
2025-02-15 05:22:00+05:30,135.93333333333334,85.35,2.3836166666666667,244.75,837.4,6.992175755329786,3.3993055555555554,35.80693204304383
2025-02-15 05:23:00+05:30,136.66666666666666,66.38333333333334,1.8424,185.96666666666667,825.7173913043479,9.046171660153423,2.5828703703703706,36.030901722391086
2025-02-15 05:24:00+05:30,115.26666666666668,27.55,0.8184333333333333,76.58333333333333,776.7,20.36411029202134,1.0636574074074074,33.66187431271128
2025-02-15 05:25:00+05:30,121.05,78.5,2.330233333333333,236.86666666666667,876.6181818181818,7.152359563419973,3.289814814814815,33.687613543708075
2025-02-15 05:26:00+05:30,132.81666666666666,83.38333333333334,2.261283333333333,237.01666666666668,812.85,7.370445985686595,3.291898148148148,36.87434126639003
2025-02-15 05:27:00+05:30,136.0,84.23333333333333,2.3775833333333334,240.01666666666668,846.7833333333333,7.009919035435141,3.333564814814815,35.428130805089204
2025-02-15 05:28:00+05:30,139.16666666666666,84.38333333333334,2.4053,246.38333333333333,853.6666666666666,6.929142587896173,3.421990740740741,35.08224892251833
2025-02-15 05:29:00+05:30,137.0,84.28333333333333,2.348566666666667,242.53333333333333,835.4333333333333,7.096526959705919,3.3685185185185187,35.88713683523283
2025-02-15 05:30:00+05:30,136.03333333333333,84.91666666666667,2.3380666666666667,239.75,825.5166666666667,7.128396681018506,3.329861111111111,36.31918108978928
2025-02-15 05:31:00+05:30,138.88333333333333,85.71666666666667,2.4111333333333334,247.35,843.6333333333333,6.912378687754029,3.435416666666667,35.55036359111897
2025-02-15 05:32:00+05:30,139.2,85.13333333333334,2.348516666666667,241.38333333333333,826.8166666666667,7.096678045007132,3.352546296296296,36.249831453896434
2025-02-15 05:33:00+05:30,136.53333333333333,84.2,2.2551666666666668,232.58333333333331,802.65,7.3904367748133915,3.230324074074074,37.33648658635725
2025-02-15 05:34:00+05:30,137.5,84.41666666666667,2.23735,233.71666666666667,794.6833333333333,7.449288965368255,3.246064814814815,37.73064860959021
2025-02-15 05:35:00+05:30,138.41666666666666,84.88333333333334,2.3735833333333334,245.7333333333333,838.2833333333333,7.021732261348875,3.4129629629629625,35.76168240704982
2025-02-15 05:36:00+05:30,139.18333333333334,85.13333333333334,2.3851166666666668,244.71666666666667,839.4833333333333,6.987778375621039,3.3988425925925925,35.693571942672264
2025-02-15 05:37:00+05:30,138.38333333333333,84.88333333333334,2.3487,240.91666666666663,829.7666666666667,7.096124097018209,3.3460648148148144,36.14056002611374
2025-02-15 05:38:00+05:30,138.06666666666666,84.33333333333333,2.315233333333333,239.55,821.8333333333334,7.1986984753156635,3.3270833333333334,36.425414285097254
2025-02-15 05:39:00+05:30,136.0,83.93333333333334,2.2636833333333333,234.3,808.4333333333333,7.362631699074517,3.254166666666667,37.07821323653927
2025-02-15 05:40:00+05:30,138.83333333333334,84.13333333333334,2.29245,237.56666666666663,816.9,7.270242171766742,3.2995370370370365,36.700182483078514
2025-02-15 05:41:00+05:30,138.16666666666666,83.96666666666667,2.2918333333333334,236.76666666666668,817.7666666666667,7.272198385571959,3.2884259259259263,36.63733546651152
2025-02-15 05:42:00+05:30,138.4,85.38333333333334,2.3069833333333336,238.51666666666668,810.5,7.224441731265216,3.3127314814814817,37.0108149892717
2025-02-15 05:43:00+05:30,137.05,84.96666666666667,2.269683333333333,236.08333333333331,800.7833333333333,7.343168283387551,3.278935185185185,37.43547190870974
2025-02-15 05:44:00+05:30,139.0,85.35,2.25605,233.0,792.95,7.387543124782991,3.236111111111111,37.831608342013695
2025-02-15 05:45:00+05:30,138.71666666666667,85.01666666666667,2.2928166666666665,236.9833333333333,807.9666666666667,7.269079516460831,3.2914351851851844,37.0795746134667
2025-02-15 05:46:00+05:30,139.4,82.65,2.3152,230.2,812.1206896551724,7.198802119327343,3.197222222222222,35.698859709744305
2025-02-15 05:47:00+05:30,137.46666666666667,85.05,2.1973,229.05,773.1166666666667,7.58506652103339,3.1812500000000004,38.706594456833386
